window,pollutant,tract_geoid,value,days,missing_values,nearest_fill_days
2010-2014,pm25,17031836800,11.9151150054765,1826,0,0
2010-2014,pm25,17031252000,11.4720700985761,1826,0,1826
2010-2014,pm25,17031251500,11.2617743702081,1826,0,1826
2010-2014,pm25,17031840700,11.9759036144578,1826,0,0
2010-2014,pm25,17031292200,11.2360350492881,1826,0,0
2010-2014,pm25,17031283800,11.6391018619934,1826,0,0
2010-2014,pm25,17031282700,11.6522453450164,1826,0,1826
2010-2014,pm25,17031808900,11.662285505659,1826,0,0
2010-2014,pm25,17031808500,11.7947426067908,1826,0,0
2010-2014,pm25,17031807600,11.8693866374589,1826,0,0
2010-2014,pm25,17031807100,11.4717962760131,1826,0,0
2010-2014,pm25,17031806700,11.9589266155531,1826,0,0
2010-2014,pm25,17031811401,12.4822015334064,1826,0,0
2010-2014,pm25,17031810600,11.737404162103,1826,0,0
2010-2014,pm25,17031810501,12.109163928441,1826,0,0
2010-2014,pm25,17031805001,12.1723256663016,1826,0,0
2010-2014,pm25,17031804810,12.526834611172,1826,0,0
2010-2014,pm25,17031804808,12.3570646221249,1826,0,0
2010-2014,pm25,17031804712,12.1087075575027,1826,0,0
2010-2014,pm25,17031806300,11.8786966046002,1826,0,0
2010-2014,pm25,17031806102,11.999452354874,1826,0,0
2010-2014,pm25,17031806002,12.3458378970427,1826,0,0
2010-2014,pm25,17031805902,11.8365279299014,1826,0,0
2010-2014,pm25,17031805702,12.4364731653888,1826,0,0
2010-2014,pm25,17031805701,12.2510952902519,1826,0,0
2010-2014,pm25,17031805502,12.2543811610077,1826,0,0
2010-2014,pm25,17031805109,12.4813800657174,1826,0,0
2010-2014,pm25,17031803611,11.4594742606791,1826,0,0
2010-2014,pm25,17031803607,12.0533953997809,1826,0,0
2010-2014,pm25,17031803008,11.8521358159912,1826,0,0
2010-2014,pm25,17031802702,11.9657721796276,1826,0,0
2010-2014,pm25,17031804710,12.1637458926616,1826,0,0
2010-2014,pm25,17031804716,12.0863453815261,1826,0,0
2010-2014,pm25,17031804505,12.4118291347207,1826,0,0
2010-2014,pm25,17031804404,11.7965498357065,1826,0,0
2010-2014,pm25,17031804105,11.5783630389326,1826,0,0
2010-2014,pm25,17031770500,12.5505887185104,1826,0,0
2010-2014,pm25,17031380200,11.6369112814896,1826,0,1826
2010-2014,pm25,17031250600,11.5104052573932,1826,0,0
2010-2014,pm25,17031801800,11.5836633246272,1826,0,0
