organ,pollutant,pollutant_term,stage,fold,n_train,n_test,adverse_test,cv_concordance
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,1,37269,9345,1166,0.6884776980715077
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,2,37291,9323,1146,0.67942088015422
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,3,37299,9315,1179,0.6854938850249295
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,4,37306,9308,1082,0.6683313732536235
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,clinical_score,5,37291,9323,1135,0.6783616356138255
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,1,37269,9345,1166,0.6928379917229956
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,2,37291,9323,1146,0.6880315301604436
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,3,37299,9315,1179,0.6904891453315435
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,4,37306,9308,1082,0.6653050464792976
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,optn_region,5,37291,9323,1135,0.6816616814495371
LU,PM2.5 per 5 ug/m3,pm25_prior_1y_5ug,community,1,37269,9345,1166,0.6919345752317425
