time,cif_adverse,cif_transplant_or_improvement,n_risk,strata,quartile,pollutant,pollutant_label,unit_label,organ,cif_adverse_percent,cif_transplant_or_improvement_percent
5,0.1294446285076535,0.8593869275235231,82,quartile=Q3,Q3,no2,NO[2],ppb,Lung,12.944462850765351,85.93869275235231
10,0.13236626515068894,0.865996481412683,5,quartile=Q3,Q3,no2,NO[2],ppb,Lung,13.236626515068895,86.5996481412683
1,0.12366253349949373,0.6989779798727404,1797,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Lung,12.366253349949373,69.89779798727403
3,0.15285570741767254,0.7995704843414524,391,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Lung,15.285570741767254,79.95704843414524
5,0.1596580224574095,0.8227860991947515,105,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Lung,15.965802245740951,82.27860991947516
10,0.16633138068674613,0.8310142521984806,6,quartile=Q4 highest,Q4 highest,no2,NO[2],ppb,Lung,16.63313806867461,83.10142521984805
1,0.10975327629499494,0.7284050607686346,1536,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Lung,10.975327629499494,72.84050607686346
3,0.1321319361735968,0.82619359012970806,293,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Lung,13.21319361735968,82.6193590129708
5,0.13813690910075901,0.8477090820452776,69,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Lung,13.813690910075902,84.77090820452776
10,0.14232892597123134,0.8561011965759887,3,quartile=Q1 lowest,Q1 lowest,o3,O[3],ppb,Lung,14.232892597123135,85.61011965759887
1,0.10158084031839212,0.7308609644257045,1883,quartile=Q2,Q2,o3,O[3],ppb,Lung,10.158084031839213,73.08609644257045
3,0.1266962252936405,0.8304540552485318,376,quartile=Q2,Q2,o3,O[3],ppb,Lung,12.66962252936405,83.04540552485318
5,0.13409626356968993,0.8488119282100643,111,quartile=Q2,Q2,o3,O[3],ppb,Lung,13.409626356968992,84.88119282100644
10,0.13771405367103196,0.859079803967799,6,quartile=Q2,Q2,o3,O[3],ppb,Lung,13.771405367103196,85.9079803967799
1,0.09673601192788171,0.7379063090117036,1728,quartile=Q3,Q3,o3,O[3],ppb,Lung,9.67360119278817,73.79063090117036
3,0.1230497452162935,0.8290666297331764,375,quartile=Q3,Q3,o3,O[3],ppb,Lung,12.30497452162935,82.90666297331764
5,0.13134199794112747,0.8517394074722372,95,quartile=Q3,Q3,o3,O[3],ppb,Lung,13.134199794112748,85.17394074722372
10,0.13624670799941854,0.8618775454084899,6,quartile=Q3,Q3,o3,O[3],ppb,Lung,13.624670799941855,86.187754540849
1,0.09632573173497595,0.7593229032171384,1518,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Lung,9.632573173497596,75.93229032171384
3,0.118935861039228,0.8439660317173447,310,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Lung,11.8935861039228,84.39660317173447
5,0.12427526742065384,0.8623073844250786,86,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Lung,12.427526742065384,86.23073844250786
10,0.12849216485782178,0.8697826885870169,4,quartile=Q4 highest,Q4 highest,o3,O[3],ppb,Lung,12.849216485782177,86.9782688587017
1,0.08799921331152165,0.7635301165217305,1854,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Lung,8.799921331152165,76.35301165217305
3,0.10700364908093839,0.8550321113383538,366,quartile=Q1 lowest,Q1 lowest,pm25,PM[2.5],ug/m3,Lung,10.700364908093839,85.50321113383538
